pmid	doi	publisher_family	followup_status	journal	title
21830908	10.1089/mdr.2011.0040	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Fecal colonization of Enterobacteriaceae carrying plasmid-mediated quinolone resistance determinants in Korea.
21859815	10.1093/jac/dkr341	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Wide dissemination of multidrug-resistant Shigella isolates in China.
21862476	10.1093/jac/dkr336	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Interspecies dissemination of a novel class 1 integron carrying blaIMP-19 among Acinetobacter species in Japan.
21930573	10.1093/jac/dkr376	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Transmission of imipenem resistance determinants during the course of an outbreak of NDM-1 Escherichia coli in a sick newborn care unit.
21996946	10.1159/000330858	Unclassified	abstract_only_with_pdf_candidate	Chemotherapy	Topoisomerase mutations that are associated with high-level resistance to earlier fluoroquinolones in Staphylococcus aureus have less effect on the antibacterial activity of besifloxacin.
22001175	10.1093/jac/dkr406	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	ICEPmu1, an integrative conjugative element (ICE) of Pasteurella multocida: analysis of the regions that comprise 12 antimicrobial resistance genes.
22096043	10.1093/jac/dkr481	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	A novel phenicol exporter gene, fexB, found in enterococci of animal origin.
22143810		Unclassified	abstract_only_no_fulltext_candidate	The new microbiologica	First detection of OKP-A β-lactamase in two Serratia marcescens isolates in China.
22146011	10.1021/bi201322c	ACS	abstract_only_with_pdf_candidate	Biochemistry	Location of the synaptosome-binding regions on botulinum neurotoxin B.
22247491	10.1093/jac/dkr579	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence of metallo-β-lactamases GIM-1 and VIM in multidrug-resistant Pseudomonas aeruginosa in North Rhine-Westphalia, Germany.
22268495	10.1111/j.1472-765X.2012.03209.x	Wiley	abstract_only_with_pdf_candidate	Letters in applied microbiology	Comparative analysis of virulence factors secreted by Bacillus anthracis Sterne at host body temperature.
22303981	10.1021/bi201790u	ACS	abstract_only_with_pdf_candidate	Biochemistry	Mechanism and diversity of the erythromycin esterase family of enzymes.
22452315	10.1111/j.1462-5822.2012.01791.x	Wiley	abstract_only_with_pdf_candidate	Cellular microbiology	Bacillus anthracis protease InhA regulates BslA-mediated adhesion in human endothelial cells.
22486636	10.1111/j.1574-6941.2012.01382.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology ecology	Antibiotic-resistant Escherichia coli in karstic systems: a biological indicator of the origin of fecal contamination?
22526300	10.1128/AAC.05980-11	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	A plasmid-encoded class 1 integron contains GES-type extended-spectrum β-lactamases in Enterobacteriaceae clinical isolates in Mexico.
22537112	10.1111/j.1574-6968.2012.02586.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	Predominant characteristics of CTX-M-producing Klebsiella pneumoniae isolates from patients with lower respiratory tract infection in multiple medical centers in China.
22718530	10.1093/jac/dks235	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Unusual small plasmids carrying the novel resistance genes dfrK or apmA isolated from methicillin-resistant or -susceptible staphylococci.
22731858	10.1089/mdr.2012.0075	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Plasmid-mediated quinolone resistance genes in fecal bacteria from rooks commonly wintering throughout Europe.
22736746	10.1093/jac/dks223	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of OXA-231, a new variant of blaOXA-143, in Acinetobacter baumannii from Brazil: a case report.
22809702	10.1093/jac/dks250	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Prevalence and characteristics of β-lactamase and plasmid-mediated quinolone resistance genes in Escherichia coli isolated from farmed fish in China.
22842601		Unclassified	abstract_only_no_fulltext_candidate	The new microbiologica	Distribution of blaOXA genes among carbapenem-resistant Acinetobacter baumannii nosocomial strains in Poland.
22843833	10.1093/jac/dks278	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence and spread of B2-ST131-O25b, B2-ST131-O16 and D-ST405 clonal groups among extended-spectrum-β-lactamase-producing Escherichia coli in Japan.
22845331	10.3109/14756366.2012.702343	Unclassified	abstract_only_with_pdf_candidate	Journal of enzyme inhibition and medicinal chemistry	OXA-162, a novel variant of OXA-48 displays extended hydrolytic activity towards imipenem, meropenem and doripenem.
22845886	10.1111/j.1574-6968.2012.02647.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	Functional screening of antibiotic resistance genes from human gut microbiota reveals a novel gene fusion.
22850691	10.1093/jac/dks292	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	High-resolution melting analysis for rapid characterization of qnr alleles in clinical isolates and detection of two novel alleles, qnrB25 and qnrB42.
22850693	10.1093/jac/dks289	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Diversity of naturally occurring Ambler class B metallo-β-lactamases in Erythrobacter spp.
